idno;cntry;demogr;regionR
6394;Poland;11;33
6403;Poland;12;51
6414;Poland;12;32
6423;Poland;23;12
6429;Poland;13;22
6431;Poland;12;22
6435;Poland;22;51
6439;Poland;11;33
6443;Poland;23;63
6449;Poland;13;62
6459;Poland;11;43
6467;Poland;22;22
6481;Poland;13;41
6482;Poland;23;41
6483;Poland;22;62
6495;Poland;23;51
6497;Poland;12;34
6500;Poland;23;41
6501;Poland;21;61
6504;Poland;23;51
6507;Poland;23;22
6511;Poland;22;12
6512;Poland;11;22
6515;Poland;23;42
6537;Poland;23;22
6539;Poland;11;51
6543;Poland;21;42
6546;Poland;22;21
6547;Poland;21;51
6548;Poland;23;21
6565;Poland;23;61
6566;Poland;23;21
6571;Poland;12;51
6581;Poland;23;22
6582;Poland;12;21
6593;Poland;22;42
6596;Poland;21;43
6597;Poland;12;21
6601;Poland;12;51
6608;Poland;12;41
6612;Poland;21;61
6620;Poland;11;63
6628;Poland;12;42
6632;Poland;12;43
6634;Poland;22;33
6639;Poland;21;42
6643;Poland;23;63
6645;Poland;22;32
6646;Poland;11;61
6650;Poland;23;34
6655;Poland;11;61
6679;Poland;22;43
6686;Poland;23;43
6688;Poland;12;41
6690;Poland;11;34
6695;Poland;11;12
6696;Poland;11;31
6703;Poland;22;32
6712;Poland;21;33
6716;Poland;11;21
6719;Poland;11;52
6723;Poland;11;21
6733;Poland;12;11
6740;Poland;23;31
6754;Poland;13;12
6763;Poland;23;52
6769;Poland;23;22
6772;Poland;21;42
6780;Poland;11;22
6783;Poland;11;21
6788;Poland;23;61
6796;Poland;11;12
6814;Poland;12;12
6817;Poland;22;51
6844;Poland;22;11
6848;Poland;22;11
6849;Poland;21;12
6851;Poland;12;12
6853;Poland;23;63
6857;Poland;11;32
6867;Poland;22;31
6873;Poland;12;22
6878;Poland;21;41
6880;Poland;12;21
6888;Poland;13;33
6901;Poland;12;32
6903;Poland;11;33
6911;Poland;13;21
6912;Poland;11;12
6920;Poland;13;34
